Total lessons: 113

Module: Week1 (ID: 3ff93e10-4158-4e4f-b177-d4de82d461e3)
  Lesson ID: b9cb8e66-a4b3-46bf-a5e6-133c55cedb82 | sort_order: 0 | Title: C5W3L09 SpeechRecog.mp4 | Created At: 2026-05-15 16:00:39.666154
  Lesson ID: 7b985cef-1ff8-4997-b7ba-a9f474e29529 | sort_order: 0 | Title: C5W3L08 Attention Model.mp4 | Created At: 2026-05-15 16:00:46.358818

Module: Week 1 (ID: 1e74682d-e750-4098-b12c-40c631431e42)
  Lesson ID: d2b1cc69-0b99-4d9d-8a4b-1f250e04142d | sort_order: 0 | Title: W1 1 Introduction to generative AI.mp4 | Created At: 2026-05-15 18:45:12.399892
  Lesson ID: 2897ff09-4049-4349-a97f-dd6bdd6e1650 | sort_order: 0 | Title: W1 2 how generative ai work.mp4 | Created At: 2026-05-15 18:45:13.015246
  Lesson ID: a225ea94-bd10-463f-80b1-f0539375f518 | sort_order: 0 | Title: W1 3 LLm as a thought partner.mp4 | Created At: 2026-05-15 18:45:13.222916
  Lesson ID: 8467991e-9d4c-4b0d-b2bb-286d1e20346a | sort_order: 0 | Title: W1 4 AI is a general purpose.mp4 | Created At: 2026-05-15 18:45:13.419688
  Lesson ID: 08b61eab-2694-40f0-910f-155c2f278972 | sort_order: 0 | Title: W1 5 Generative ai application - Writing.mp4 | Created At: 2026-05-15 18:45:13.625041
  Lesson ID: e9e11693-1b9a-4e21-baf5-5ecc068b0238 | sort_order: 0 | Title: W1 6 Generative ai application  - Reading.mp4 | Created At: 2026-05-15 18:45:13.843075
  Lesson ID: d3c597d7-2c87-4d48-8507-76c70bcf5c22 | sort_order: 0 | Title: W1 7 Generative ai application   Chating.mp4 | Created At: 2026-05-15 18:45:14.047341
  Lesson ID: e1fe5f24-8431-4167-8bbe-cf14d87c1f2e | sort_order: 0 | Title: W1 8 Generative ai application   What LLMs can and cannot do.mp4 | Created At: 2026-05-15 18:45:14.282420
  Lesson ID: 9ff2a4c8-8f12-4073-afe5-4dba72d7c755 | sort_order: 0 | Title: W1 9 Generative ai application   Tips for prompting.mp4 | Created At: 2026-05-15 18:45:14.483701
  Lesson ID: aa3b9c21-6e30-44c4-8933-aaaf3bb317b1 | sort_order: 0 | Title: W1 10 Generative ai application   Image generation.mp4 | Created At: 2026-05-15 18:45:14.689889

Module: Week 2 (ID: 39174b37-5c11-4136-b898-842f5b66d835)
  Lesson ID: 34f9b8a2-6567-43ee-a4f1-1f932715ee26 | sort_order: 0 | Title: W2 1 Using generative AI in software applications.mp4 | Created At: 2026-05-15 18:45:58.876834
  Lesson ID: 983fe6f3-7654-40d6-a41a-5c8c1d910e6f | sort_order: 0 | Title: W2 2 Trying generative AI code yourself.mp4 | Created At: 2026-05-15 18:45:59.076209
  Lesson ID: 02d962fd-c53b-4fde-823b-44075a03a29b | sort_order: 0 | Title: W2 3 Lifecycle of a generative AI project.mp4 | Created At: 2026-05-15 18:45:59.279023
  Lesson ID: 3f16c402-bea0-4f1d-afe7-0f6a6dd379aa | sort_order: 0 | Title: W2 4 Cost intuition.mp4 | Created At: 2026-05-15 18:45:59.514599
  Lesson ID: 899bdd1b-c4e1-40ba-97bb-b0fb6e362660 | sort_order: 0 | Title: W2 5 Retrieval Augmented Generation RAG.mp4 | Created At: 2026-05-15 18:45:59.736588
  Lesson ID: fe0bed63-f4d1-45e4-ab6d-fd56de98a5b8 | sort_order: 0 | Title: W2 6 Fine tuning.mp4 | Created At: 2026-05-15 18:45:59.951666
  Lesson ID: 8b3c9bd2-77a7-47a9-90a3-c21a62b55978 | sort_order: 0 | Title: W2 7 Pretraining an LLM.mp4 | Created At: 2026-05-15 18:46:00.157942
  Lesson ID: 286ebc9c-5ef5-42b0-bd74-28356b96e0fa | sort_order: 0 | Title: W2 8 Choosing a model.mp4 | Created At: 2026-05-15 18:46:00.474468
  Lesson ID: c40069c1-286b-43d9-9ab6-0141ec4de2af | sort_order: 0 | Title: W2 9 How LLMs follow instructions, Instruction tuning and RLHF.mp4 | Created At: 2026-05-15 18:46:00.729190
  Lesson ID: 9ef71ad0-a6d4-43b0-a050-cdcde68b5342 | sort_order: 0 | Title: W2 10 Tool use and agents.mp4 | Created At: 2026-05-15 18:46:01.022722

